,text,date
13,Richard Dreyfuss: 'I was a bad guy for a number of years',2020-06-24T05:00:07Z
14,Ditch the fan: how to stay cool when home-working in a heatwave,2020-06-24T05:00:07Z
15,Chinese city launches domestic violence database for couples considering marriage,2020-06-24T04:38:52Z
16,"New Acland coalmine fined just $9,461 for 34 separate noise violations",2020-06-24T04:38:17Z
17,Country diary: winds that shake the barley fields,2020-06-24T04:30:06Z
18,Tuesday briefing: England prepares to ease out of lockdown,2020-06-24T04:22:59Z
19,North Korea suspends plan to increase military pressure on South,2020-06-24T04:10:34Z
20,Brazil's Covid-19 crisis denies Potato the Clown his last wish,2020-06-24T04:00:06Z
21,Hopes fade for unity in Turkish opposition to Erdoğan,2020-06-24T04:00:06Z
22,Lagos distributes free phones in bid to bridge digital and educational divide,2020-06-24T04:00:06Z
23,Head of ICC says US measures to curb court are unlawful,2020-06-24T04:00:05Z
24,"Rise of Iran hardliners threatens nuclear diplomacy, Europe warned",2020-06-24T04:00:05Z
25,Global report: seven US states report record Covid-19 hospitalisations,2020-06-24T03:50:41Z
26,"ABC to cut 250 jobs, dump 7.45am radio news bulletin and axe ABC Life brand",2020-06-24T03:39:07Z
27,'Virtually no demand' for coins in Covid-19 era as Australia's shift from cash to digital hastens,2020-06-24T03:02:15Z
28,My degree taught me to spot the flaws of the university funding overhaul | Richard Denniss,2020-06-24T02:50:43Z
29,Dyson Heydon: ACT chief prosecutor asks police to investigate sexual harassment allegations,2020-06-24T02:29:17Z
30,Lack of consultation over netball rule change sparks uproar among players,2020-06-24T02:28:27Z
31,"Future Man: bonkers time-travel series full of smut, toilet humour and sci-fi fun",2020-06-24T02:28:14Z
32,Lord of the Rings TV series issues New Zealand casting call for 'funky-looking' people,2020-06-24T02:08:38Z
33,Mexico earthquake: deaths as 7.5-magnitude tremor hits Oaxaca state,2020-06-24T01:48:20Z
34,"Australia coronavirus stats: Covid-19 active case numbers, map and state by state data update",2020-06-24T01:25:40Z
35,CDC director: Covid-19 'brought this nation to its knees' – as it happened,2020-06-24T01:23:04Z
36,'End of hibernation': what the papers say about England's lockdown easing,2020-06-24T00:54:11Z
37,Online harassment increases to 35% for American minority groups,2020-06-24T00:53:53Z
38,'Def worth a trespass': Instagram users risk it all to frolic in New Zealand infinity pools,2020-06-24T00:46:31Z
39,"Australia's Covid-19 restrictions and coronavirus lockdown rules explained: how far can I travel, and can I have people over?",2020-06-24T00:33:09Z
40,French app alerts only 14 people in three weeks; judge orders Bolsonaro to wear mask – as it happened,2020-06-23T23:07:44Z
41,José Mourinho hails 'fundamental' Harry Kane as Moyes hits out at VAR,2020-06-23T23:05:33Z
42,A generation of UK researchers could be lost in funding crisis,2020-06-23T23:01:03Z
43,"London more religious than rest of Britain, report finds",2020-06-23T23:01:03Z
44,Treasury announces £85m for rough sleeper accommodation,2020-06-23T23:01:03Z
45,"Britons spend quarter of day online since lockdown, says Ofcom",2020-06-23T23:01:02Z
46,"Tackle UK carbon emissions by working with nature, government urged",2020-06-23T23:01:02Z
